give,tame,lame,info,rome,roam,atom,hate,arse,arch,dope,fire,coal,read,user,code,file,foul,howl,star
stop,edge,mail,torn,tore,lore,note,load,down,left,four,five,onyx,side,sore,huge,game,fame,idol,idle
coup,coin,more,moan,mane,loan,lion,side,diya,bile,rang,ring,disk,scan,cast,cask,bird,fine,dorm,neat
chad,grab,bash,vape,high,blue,cyan,husk,ipod,ipad,bulk,base,cent,find,case,what,then,lose,bike,page
fund,hare,hair,this,thou,leia,each,rice,slav,turn,your,mine,peck,shit,shat,word,seal,bear,bare,mode
care,ship,sink,sank,sung,sing,rain,copy,cord,into,quit,firm,stun,stan,take,heir,tram,flat,fort,fork
kept,cost,cone,lice,like,lite,levy,cant,pest,hold,paid,vase,jean,riot,work,date,time,hand,vote,park
slot,fist,isle,body,move,newt,came,come,sine,sign,sync,song,than,wine,vine,joke,jake,gist,gone,gate
clot,clog,clan,cake,chin,duck,over,vest,seat,such,numb,liar,posh,pack,pale,pace,pave,race,taze,pole
mint,plan,main,plot,pair,prom,sick,bang,bait,said,deal,meal,lift,loft,cash,wank,tank,bank,dank,duel
dark,snow,john,pier,once,upon,west,east,gone,lock,luck,lust,lawn,tune,tone,back,shut,lack,punk,lord
brim,halo,lens,lend,lent,lick,list,taxi,pine,want,perk,most,grow,quad,year,hero,ping,pong,bunk,womb
dumb,camp,fury,dent,road,rash,open,daze,very,jack,rise,wild,ride,rode,trek,uber,just,wide,unit,ruin
pear,bump,view,font,dick,dock,dose,salt,farm,pore,café,town,city,only,line,shop,comb,code,clay,belt
bolt,urge,made,roma,poke,wind,wick,rent,core,auto,lean,clip,edit,sort,burn,trim,prim,face,volt,very
rule,hind,leaf,turk,wasp,fish,beat,lips,lisp,ruby,swat,wire,wife,hard,turd,fare,tear,fear,fair,draw
bake,lake,make,ache,july,june,boat,lamp,cane,port,nose,nude,nail,toes,bard,tire,hire,dire,fuel,foil
fail,hail,bail,kale,goat,coat,role,real,peas,flew,news,cube,amid,fake,twig,toad,envy,task,mask,bask
